student_id,name,branch,college_tier,cgpa,backlogs,coding_skills,internships,projects_count,placement_status,salary_package_lpa
STU00189,Loid,IT,Tier-3,6.89,0,5.9,0,5,1,11.99
STU00190,Bokuto,ECE,Tier-2,7.65,0,3.4,1,2,1,10.45
STU00191,Kakashi,ME,Tier-1,6.79,1,8.3,0,2,0,
STU00192,Nagi,ME,Tier-1,7.11,0,4.2,3,4,0,
STU00193,Sakura,ME,Tier-2,8.01,0,5.9,0,1,1,10.38
STU00194,Light,ECE,Tier-3,7.81,3,5.8,0,3,1,8.65
STU00195,Askeladd,Chemical,Tier-3,7.4,0,6.7,0,2,0,
STU00196,Kirito,CSE,Tier-2,5.7,0,6.4,0,2,1,8.21
STU00197,Soma,ECE,Tier-2,7.73,0,7.4,0,2,1,11.8
STU00198,Inosuke,CSE,Tier-3,6.84,0,5.5,0,3,1,7.3
STU00199,Joseph,ECE,Tier-2,7.64,1,7.2,0,4,0,
STU00200,Damian,Chemical,Tier-1,5.83,1,6.5,1,2,1,11.87
STU00201,Mob,ECE,Tier-1,8.04,1,5.3,1,1,0,
STU00202,Mikey,Chemical,Tier-3,6.44,1,7.1,2,4,1,10.85
STU00203,Ichigo,EE,Tier-3,7.59,1,8.7,0,3,0,
STU00204,Leorio,ME,Tier-3,8.04,0,7.9,0,2,1,8.78
STU00205,Askeladd,EE,Tier-3,7.55,0,7.1,0,3,0,
STU00206,Kageyama,IT,Tier-1,7.55,0,5.9,0,1,1,12.29
STU00207,Leorio,CE,Tier-2,7.28,0,1.5,2,4,1,9.43
STU00208,Mikasa,Chemical,Tier-3,6.1,2,5.1,0,1,1,6.31
STU00209,Chrollo,IT,Tier-3,8.39,2,5.6,0,1,0,
STU00210,Joseph,CE,Tier-2,8.19,3,5.3,2,4,0,
STU00211,Miyamura,IT,Tier-1,6.86,1,4.8,0,1,1,10.88
STU00212,Sakura,CE,Tier-3,4.11,2,7.3,1,2,0,
STU00213,Beru,CE,Tier-2,8.11,0,4.4,1,2,0,
STU00214,Hinata Shoyo,EE,Tier-2,5.56,1,5.6,0,3,1,9.33
STU00215,Anya,CE,Tier-1,7.68,0,7.8,0,2,1,11.3
STU00216,Ayanokoji,IT,Tier-1,6.54,0,10.0,0,1,1,15.6
STU00217,Bakugo,CSE,Tier-3,7.63,1,6.6,1,2,1,8.42
STU00218,Nishinoya,CSE,Tier-3,6.29,0,2.9,0,3,0,
STU00219,Natsu,EE,Tier-2,7.21,2,6.9,1,2,0,
STU00220,Turbo Granny,Chemical,Tier-2,5.66,1,8.1,2,2,1,12.37
STU00221,Usopp,CSE,Tier-2,7.21,1,6.4,0,3,1,11.74
STU00222,Bachira,EE,Tier-2,7.2,1,8.4,0,2,0,
STU00223,Damian,ME,Tier-2,7.85,1,6.6,1,4,0,
STU00224,Ishikawa,IT,Tier-2,6.77,0,6.9,0,2,0,
STU00225,Near,CE,Tier-3,7.45,0,7.3,0,4,1,11.82
STU00226,Chigiri,ECE,Tier-3,6.84,1,5.5,1,3,1,8.91
STU00227,Draken,CE,Tier-2,7.61,0,6.1,1,3,1,9.9
STU00228,Kurapika,ME,Tier-3,7.55,0,6.3,0,3,1,8.97
STU00229,Frieza,EE,Tier-3,7.99,0,5.5,0,2,1,9.16
STU00230,Cha Haein,IT,Tier-1,6.14,0,4.7,1,4,1,13.25
STU00231,Miyamura,EE,Tier-3,7.12,0,7.8,0,2,1,7.1
STU00232,Usopp,CE,Tier-2,7.46,0,6.4,1,4,1,9.72
STU00233,Hange,CSE,Tier-3,8.84,1,6.7,2,3,1,11.95
STU00234,Itachi,CE,Tier-2,8.98,1,5.6,0,4,1,11.99
STU00235,Asuna,EE,Tier-2,5.98,3,8.0,2,3,0,
STU00236,L,CE,Tier-3,6.65,1,6.9,1,4,0,
STU00237,Erwin,ME,Tier-3,4.95,0,7.8,2,1,0,
STU00238,Inosuke,EE,Tier-1,9.18,0,6.6,0,2,1,13.08
STU00239,Suzaku,ECE,Tier-3,7.49,1,4.9,1,2,1,8.82
STU00240,Denji,ME,Tier-3,7.72,0,6.3,1,2,0,
STU00241,Kagura,CSE,Tier-3,6.92,1,5.1,1,2,0,
STU00242,Nagi,ME,Tier-3,7.2,0,7.3,0,2,1,8.96
STU00243,Soma,CSE,Tier-2,8.22,0,5.4,1,3,1,12.33
STU00244,Subaru,ME,Tier-2,6.26,1,6.4,0,3,0,
STU00245,Dimple,ME,Tier-2,6.18,2,5.4,2,2,0,
STU00246,Deku,CSE,Tier-3,6.98,1,5.2,1,5,0,
STU00247,Josuke,CE,Tier-3,7.21,0,5.9,3,1,0,
STU00248,Seiko Ayase,ECE,Tier-3,7.7,1,7.2,1,4,1,10.14
STU00249,Ayanokoji,CE,Tier-1,7.22,0,3.5,0,2,1,11.11
STU00250,Aira Shiratori,CSE,Tier-3,6.44,0,4.7,1,2,1,7.6
STU00251,Kakashi,IT,Tier-3,6.86,2,5.4,2,3,0,
STU00252,Gon,EE,Tier-3,7.36,0,4.9,0,1,1,7.79
STU00253,Piccolo,IT,Tier-3,7.79,1,5.0,0,3,1,10.57
STU00254,Barou,ECE,Tier-2,8.1,0,7.0,1,1,1,10.82
STU00255,Igris,ME,Tier-2,6.95,3,7.0,0,1,0,
STU00256,Draken,IT,Tier-2,6.56,0,6.1,0,3,1,11.19
STU00257,Mitsuri,ME,Tier-1,6.39,1,5.3,3,2,1,12.11
STU00258,Ichigo,CSE,Tier-1,8.25,0,4.1,1,4,0,
STU00259,Miyamura,IT,Tier-3,6.81,1,8.2,0,4,0,
STU00260,Misa,ME,Tier-2,6.51,0,6.4,1,5,1,9.99
STU00261,Sukuna,CE,Tier-1,7.35,0,4.1,1,4,0,
STU00262,Erza,IT,Tier-1,8.65,1,6.6,0,2,1,14.94
STU00263,Asuna,ECE,Tier-3,6.37,0,6.3,0,2,0,
STU00264,Riza Hawkeye,Chemical,Tier-3,7.73,1,5.2,0,4,0,
STU00265,Aki,Chemical,Tier-2,6.79,0,5.8,0,2,1,7.08
STU00266,Dimple,ME,Tier-3,7.3,0,6.5,0,5,0,
STU00267,Frieza,EE,Tier-3,7.93,0,5.2,0,1,0,
STU00268,Rem,ECE,Tier-3,8.29,0,4.7,1,4,1,9.31
STU00269,Sasuke,ME,Tier-3,6.72,0,6.7,0,1,1,5.44
STU00270,Tanjiro,ME,Tier-3,7.88,0,6.5,2,2,1,11.83
STU00271,Trunks,ECE,Tier-3,7.41,3,3.9,0,4,0,
STU00272,Rin,CSE,Tier-2,7.56,1,4.1,1,2,1,10.19
STU00273,Saitama,IT,Tier-3,8.31,1,2.8,0,1,0,
STU00274,Tatsumaki,Chemical,Tier-2,6.56,0,3.7,0,3,0,
STU00275,Suzaku,ECE,Tier-2,7.9,0,5.6,0,4,1,10.39
STU00276,Fern,EE,Tier-3,7.34,0,4.6,1,2,1,6.6
STU00277,Asuka,EE,Tier-3,8.27,0,6.5,0,2,1,8.19
STU00278,Yuki Yoshikawa,CE,Tier-3,7.57,1,4.8,0,1,0,
STU00279,Winry,CSE,Tier-3,7.06,2,3.7,0,3,0,
STU00280,Roy Mustang,CSE,Tier-3,7.98,1,4.1,0,4,0,
STU00281,Bond,IT,Tier-2,6.69,1,6.7,1,3,1,10.96
STU00282,Bond,EE,Tier-3,6.84,2,7.2,0,3,1,9.68
STU00283,Makima,ME,Tier-2,6.52,0,2.4,1,2,0,
STU00284,Armin,EE,Tier-1,6.64,0,5.5,1,4,0,
STU00285,Hisoka,EE,Tier-2,4.74,1,7.5,1,4,0,
STU00286,Jiraiya,Chemical,Tier-3,6.74,0,5.6,2,3,1,10.98
STU00287,Luffy,IT,Tier-3,7.13,0,5.5,2,3,0,
STU00288,Sengoku,ME,Tier-3,7.88,0,9.7,0,2,1,10.29
STU00289,Uraraka,EE,Tier-1,6.37,0,5.4,1,4,1,10.83
STU00290,Meliodas,EE,Tier-3,6.75,0,9.1,1,5,1,11.54
STU00291,Shinobu,CE,Tier-3,7.04,0,5.1,0,2,1,7.81
STU00292,Tanjiro,IT,Tier-3,7.89,2,6.8,1,4,1,11.43
STU00293,Brook,Chemical,Tier-2,7.36,1,5.4,1,1,1,8.06
STU00294,Gon,ECE,Tier-3,7.54,2,9.2,1,5,1,11.67
STU00295,Nagi,EE,Tier-3,7.99,1,5.0,0,3,1,7.68
STU00296,Todoroki,EE,Tier-2,7.65,0,6.0,1,1,1,7.37
STU00297,Tsukishima,CE,Tier-2,6.66,1,5.0,2,2,1,9.97
STU00298,Shikamaru,EE,Tier-1,8.74,0,8.0,0,3,1,12.77
STU00299,Dio,IT,Tier-1,5.49,1,6.5,0,2,0,
STU00300,Tengen,CSE,Tier-2,8.01,2,4.8,2,2,0,
STU00301,Naruto,ECE,Tier-3,7.6,2,5.9,1,2,0,
STU00302,Asuka,CE,Tier-3,8.32,0,5.4,1,3,1,7.73
STU00303,Bakugo,CSE,Tier-3,6.99,1,7.1,1,4,1,12.34
STU00304,Seiko Ayase,Chemical,Tier-1,6.75,1,4.5,2,1,0,
STU00305,Law,EE,Tier-1,6.21,0,2.1,0,0,0,
STU00306,Yor,CSE,Tier-3,6.24,1,7.1,1,2,0,
STU00307,Cha Haein,ECE,Tier-3,7.05,0,8.0,1,2,1,7.19
STU00308,Giyu,EE,Tier-3,6.44,0,6.4,2,1,0,
STU00309,Edward,ECE,Tier-3,6.56,1,6.0,1,5,0,
STU00310,Barou,CSE,Tier-3,6.25,1,4.0,1,2,0,
STU00311,Meruem,ME,Tier-3,8.13,2,5.5,1,4,1,9.42
STU00312,Kurapika,ME,Tier-3,6.55,0,5.5,2,1,0,
STU00313,Shinobu,CSE,Tier-2,7.56,1,6.5,2,1,0,
STU00314,Askeladd,IT,Tier-1,7.09,0,4.7,0,4,1,13.48
STU00315,Tengen,IT,Tier-3,7.51,1,7.9,0,3,0,
STU00316,Hange,ME,Tier-2,6.96,2,6.4,0,3,0,
STU00317,Kurapika,CE,Tier-1,7.9,2,7.4,0,1,0,
STU00318,Geto,CE,Tier-2,7.75,0,6.5,0,2,1,9.37
STU00319,Barou,Chemical,Tier-3,8.29,0,4.2,1,2,1,8.21
STU00320,Jotaro,CE,Tier-1,6.61,3,6.1,1,4,1,12.59
STU00321,Kushida,ECE,Tier-3,6.44,0,6.1,3,4,0,
STU00322,L,CSE,Tier-3,6.85,0,7.2,1,3,0,
STU00323,Cha Haein,ME,Tier-3,7.3,0,4.6,0,3,0,
STU00324,Goku,Chemical,Tier-1,7.67,0,8.9,0,4,1,12.24
STU00325,Komugi,Chemical,Tier-3,6.64,1,5.7,2,3,0,
STU00326,Giyu,IT,Tier-3,7.38,0,5.1,2,2,0,
STU00327,Rukia,IT,Tier-2,7.04,1,4.6,0,5,1,12.07
STU00328,Thorfinn,CSE,Tier-3,6.96,0,5.7,3,1,1,9.89
STU00329,Muichiro,CSE,Tier-1,7.19,1,5.0,0,3,1,12.78
STU00330,Todoroki,EE,Tier-3,8.55,3,5.9,0,2,1,9.33
STU00331,Franky,EE,Tier-3,7.91,2,7.5,1,2,0,
STU00332,Brook,ECE,Tier-2,8.14,0,5.3,1,2,0,
STU00333,Light,ECE,Tier-3,7.53,0,6.1,0,3,1,9.43
STU00334,Meliodas,CE,Tier-2,8.79,1,6.1,2,2,0,
STU00335,Ryuk,EE,Tier-3,8.0,0,4.9,0,1,1,7.32
STU00336,Usopp,CE,Tier-3,5.92,0,2.1,0,2,0,
STU00337,Ryuk,Chemical,Tier-1,7.85,1,5.1,1,1,1,10.89
STU00338,Killua,ECE,Tier-3,7.5,0,5.2,1,0,0,
STU00339,Winry,IT,Tier-3,7.76,1,3.6,2,3,0,
STU00340,Bulma,Chemical,Tier-2,5.85,1,2.3,0,1,0,
STU00341,Bakugo,ME,Tier-3,5.88,1,6.6,0,3,1,6.69
STU00342,Toji,ECE,Tier-2,7.11,2,5.3,2,4,1,11.99
STU00343,Gojo,ME,Tier-1,5.62,0,4.6,1,3,1,7.42
STU00344,Miyamura,EE,Tier-2,7.83,0,4.0,2,1,1,8.55
STU00345,Piccolo,Chemical,Tier-2,7.33,1,5.6,0,3,0,
STU00346,Mello,IT,Tier-1,8.95,2,7.0,0,2,1,16.47
STU00347,Roy Mustang,Chemical,Tier-2,7.54,1,5.8,1,1,1,9.3
STU00348,Erza,Chemical,Tier-3,7.82,1,5.0,0,3,0,
STU00349,Usopp,IT,Tier-2,7.72,0,6.2,1,2,1,12.48
STU00350,Lelouch,IT,Tier-3,7.27,1,7.3,0,3,1,8.57
STU00351,Misa,EE,Tier-2,7.31,0,4.5,0,3,1,8.19
STU00352,Kakashi,CSE,Tier-1,7.15,2,7.3,1,2,1,13.98
STU00353,Kushida,ECE,Tier-3,5.05,1,4.1,1,4,0,
STU00354,Himmel,EE,Tier-2,8.21,0,6.3,1,2,1,11.95
STU00355,Igris,Chemical,Tier-2,8.22,0,4.5,1,4,1,12.83
STU00356,Megumi,Chemical,Tier-3,7.98,0,4.7,0,1,1,6.8
STU00357,Momo Ayase,IT,Tier-2,7.28,0,5.3,2,5,1,11.76
STU00358,Mikey,Chemical,Tier-2,7.08,0,6.7,0,2,0,
STU00359,Kirito,CSE,Tier-3,6.18,0,6.5,0,1,1,9.35
STU00360,Thomas Andre,CE,Tier-1,6.07,0,7.5,0,3,0,
